directorId,directorName,movieId
1335642,Robert Gordon,319067
55948,Alan Smithee,78149
105866,Marco Bellocchio,30239
19639,André Hunebelle,1871
24560,Marion Vernoux,186705
63943,Rowdy Herrington,11074
25854,Lucas Belvaux,44539
122728,Charles Matthau,248706
25645,Hirokazu Koreeda,25050
24471,Charles Nemes,15449
1438608,Inés de Oliveira Cézar,330430
16730,Darrell James Roodt,52855
56411,Glenn Ficarra,256591
2675,Darren Lynn Bousman,101669
56717,Tom Vaughan,93837
89669,A. Edward Sutherland,30230
81916,Tommy Wiseau,17473
150193,Sandy Collora,41360
1251430,Hiroshi Ishiodori,288037
94096,George Sherman,44631
57832,Daniel Lee,61187
13275,Tadanobu Asano,191476
20658,Naomi Kawase,162442
38692,Paul Hoen,124097
71063,Patrick Tam Kar-Ming,11960
113337,Aleksey Balabanov,20994
68580,Christoph Schrewe,19039
19396,John Brahm,35849
558263,Marcos Jorge,69335
24970,John Asher,35118
238954,Marc Allégret,181876
1050833,Lazar Stojanović,251241
12898,Tim Allen,35458
1447239,Benjamin Cox,333358
71267,Kirk De Micco,11802
54971,Marc Rocco,17736
1475576,Rhys Thomas,343934
39885,Jacques Poitrenaud,90930
9339,Lilly Wachowski,605
114518,Bill Rebane,39154
46997,Alan Gibson,35669
1701497,Itzik Kricheli,414771
1350506,Pablo Aragüés,362617
44546,Joseph Manduke,37754
237051,Sukumar,365187
99875,Masami Hata,116318
42457,Gregor Schnitzler,9295
1074721,Enrique Gato,121734
146026,D. Stevens,52462
145618,Tony Elwood,39509
10516,John G. Blystone,46351
25900,Daniel Guzmán,326198
225680,Roman Karimov,280422
113802,Marcus Warren,35153
13927,Kurt Wimmer,7299
254182,Wilford Leach,15716
1013132,Manish Gupta,31983
33062,Curtis Bernhardt,212713
1144937,Paulo Caldas,232739
8630,Erich von Stroheim,70806
85530,R. Balki,16576
93107,Masaaki Yuasa,165718
150347,John Dower,39183
65470,Jan Verheyen,225975
97579,Guy Maddin,13241
102063,Luigi Batzella,36879
108481,JP Siili,50988
454818,Alejandro Brugués,74726
229351,Yury Bykov,313556
216116,Jeff Stilson,22800
95025,Arthur B. Woods,43833
